Country,Longitude,Latitude,Group,Order,Count
United Arab Emirates,54.45664215,24.42333984,14,995,19
United Arab Emirates,54.42841721,24.42509842,14,996,19
United Arab Emirates,54.35771561,24.44277191,14,997,19
United Arab Emirates,54.33476639,24.47104454,14,998,19
United Arab Emirates,54.37890625,24.50458908,14,999,19
United Arab Emirates,54.39834213,24.50634766,14,1000,19
United Arab Emirates,54.42656326,24.47104454,14,1001,19
United Arab Emirates,54.46543121,24.44277191,14,1002,19
United Arab Emirates,56.29785156,25.65068245,15,1004,19
United Arab Emirates,56.3634758,25.56938553,15,1005,19
United Arab Emirates,56.37284851,25.01831055,15,1006,19
United Arab Emirates,56.38798904,24.97919846,15,1007,19
United Arab Emirates,56.35292816,24.9732914,15,1008,19
United Arab Emirates,56.31357574,24.93129921,15,1009,19
United Arab Emirates,56.26787186,24.86669922,15,1010,19
United Arab Emirates,56.20468903,24.83330154,15,1011,19
United Arab Emirates,56.15449142,24.79550743,15,1012,19
United Arab Emirates,56.10654449,24.74868202,15,1013,19
United Arab Emirates,56.06386566,24.73876953,15,1014,19
United Arab Emirates,56.00839996,24.79824066,15,1015,19
United Arab Emirates,55.97031403,24.8589344,15,1016,19
United Arab Emirates,55.97968674,24.87207031,15,1017,19
United Arab Emirates,56.00634766,24.87641716,15,1018,19
United Arab Emirates,56.01670074,24.90771484,15,1019,19
United Arab Emirates,56.00058365,24.95322227,15,1020,19
United Arab Emirates,55.96308517,24.97026253,15,1021,19
United Arab Emirates,55.91582108,24.97177696,15,1022,19
United Arab Emirates,55.87070084,24.95141602,15,1023,19
United Arab Emirates,55.82285309,24.91127968,15,1024,19
United Arab Emirates,55.79570389,24.86811638,15,1025,19
United Arab Emirates,55.79159927,24.78129959,15,1026,19
United Arab Emirates,55.80419922,24.68359375,15,1027,19
United Arab Emirates,55.80390549,24.63623047,15,1028,19
United Arab Emirates,55.7775383,24.57734489,15,1029,19
United Arab Emirates,55.76816177,24.49062538,15,1030,19
United Arab Emirates,55.78681564,24.4235363,15,1031,19
United Arab Emirates,55.80400467,24.38354492,15,1032,19
United Arab Emirates,55.80566406,24.34980392,15,1033,19
United Arab Emirates,55.76084137,24.24267578,15,1034,19
United Arab Emirates,55.79970932,24.22265625,15,1035,19
United Arab Emirates,55.92861557,24.21513557,15,1036,19
United Arab Emirates,55.96631241,24.14262772,15,1037,19
United Arab Emirates,55.9921875,24.09296799,15,1038,19
United Arab Emirates,55.9851532,24.06337738,15,1039,19
United Arab Emirates,55.89413834,24.04140663,15,1040,19
United Arab Emirates,55.77910233,24.01708984,15,1041,19
United Arab Emirates,55.69658279,24.02412224,15,1042,19
United Arab Emirates,55.54785156,23.9913578,15,1043,19
United Arab Emirates,55.46845627,23.94111252,15,1044,19
United Arab Emirates,55.4917984,23.90966797,15,1045,19
United Arab Emirates,55.5193367,23.88549805,15,1046,19
United Arab Emirates,55.5316391,23.81904411,15,1047,19
United Arab Emirates,55.50849533,23.72460938,15,1048,19
United Arab Emirates,55.46630859,23.63290977,15,1049,19
United Arab Emirates,55.41386795,23.51874924,15,1050,19
United Arab Emirates,55.35322189,23.38745117,15,1051,19
United Arab Emirates,55.27021408,23.18994141,15,1052,19
United Arab Emirates,55.19990158,23.03476524,15,1053,19
United Arab Emirates,55.19218826,22.92295074,15,1054,19
United Arab Emirates,55.19404221,22.85000038,15,1055,19
United Arab Emirates,55.18583679,22.70410156,15,1056,19
